,age,note_rate,wam,coupon,agency,curr_bal,maturity_date,term
3140XFAJ0,12.0,2.48,166.0,2.0,UMBS,96063574.05,2036-12-01,178.0
3140XF7F2,9.0,3.718,350.0,3.0,UMBS,148106849.6,2052-02-01,359.0
3140XDU95,12.0,2.2,167.0,1.5,UMBS,134338764.9,2036-11-01,179.0
3140XDPX8,12.0,2.891,346.0,2.0,UMBS,104257420.5,2051-10-01,358.0
3140XDNQ5,12.0,2.22,166.0,1.5,UMBS,78413826.12,2036-11-01,178.0
3140XDMR4,12.0,2.238,166.0,1.5,UMBS,195357963.1,2036-11-01,178.0
3140XDLN4,12.0,2.286,166.0,1.5,UMBS,68117808.98,2036-10-01,178.0
3140XDE77,12.0,2.911,346.0,2.0,UMBS,152227495.3,2051-10-01,358.0
3140XDE51,13.0,2.862,344.0,2.0,UMBS,117016648.9,2051-10-01,357.0
3140XDCW4,14.0,3.369,344.0,2.5,UMBS,140063550.2,2051-09-01,358.0
3140XD2T2,12.0,2.816,346.0,2.0,UMBS,103245753.2,2051-12-01,358.0
3140XCY51,13.0,2.266,165.0,1.5,UMBS,404403617.2,2036-09-01,178.0
3140XCBP2,15.0,2.714,163.0,2.0,UMBS,67550491.16,2036-08-01,178.0
3140XBY87,16.0,2.326,161.0,1.5,UMBS,105110887.9,2036-07-01,177.0
3140XBQF0,19.0,2.626,158.0,2.0,UMBS,86589605.89,2036-05-01,177.0
3140XBNL0,17.0,3.29,340.0,2.5,UMBS,71570758.7,2051-06-01,357.0
3140XBLG3,17.0,3.298,340.0,2.5,UMBS,72064731.77,2051-05-01,357.0
3140XBK74,16.0,2.943,339.0,2.0,UMBS,112355458.1,2051-06-01,355.0
3140XBJM3,25.0,2.7,149.0,2.0,UMBS,149497669.4,2036-01-01,174.0
3140XAZQ8,18.0,2.901,338.0,2.0,UMBS,178347147.6,2051-04-01,356.0
3140XAWU2,19.0,2.315,157.0,1.5,UMBS,91402941.53,2036-04-01,176.0
3140XAK35,27.0,2.676,88.0,2.0,UMBS,67769306.12,2030-10-01,115.0
3140XAJ86,18.0,2.17,159.0,1.5,UMBS,383942538.6,2036-05-01,177.0
3140XAE99,20.0,2.939,336.0,2.0,UMBS,106497098.1,2051-03-01,356.0
3140XADU3,19.0,2.802,337.0,2.0,UMBS,80778934.94,2051-03-01,356.0
3140XADT6,19.0,2.821,339.0,2.0,UMBS,118407684.6,2051-03-01,358.0
3140XADQ2,21.0,2.827,334.0,2.0,UMBS,134106563.1,2051-03-01,355.0
3140XA7J5,19.0,2.85,338.0,2.0,UMBS,115259623.7,2051-04-01,357.0
3140X9X67,19.0,2.153,158.0,1.5,UMBS,77649629.51,2036-04-01,177.0
3140X8JT5,24.0,3.344,331.0,2.5,UMBS,94865161.16,2050-10-01,355.0
3140X8JM0,24.0,2.873,334.0,2.0,UMBS,74206193.32,2050-11-01,358.0
3140X8GK7,23.0,2.267,153.0,1.5,UMBS,280138718.2,2035-12-01,176.0
3140X7XM6,26.0,2.763,149.0,2.0,UMBS,500163109.5,2035-09-01,175.0
3140X7WX3,26.0,3.374,328.0,2.5,UMBS,94100686.45,2050-09-01,354.0
3140X7WR6,25.0,2.797,329.0,2.0,UMBS,430068330.4,2050-09-01,354.0
3140X7WQ8,25.0,2.84,329.0,2.0,UMBS,441990113.7,2050-09-01,354.0
3140X7WP0,25.0,2.822,329.0,2.0,UMBS,460686985.7,2050-09-01,354.0
3140X7WF2,26.0,3.37,328.0,2.5,UMBS,122458528.1,2050-09-01,354.0
3140X7PZ6,25.0,2.654,150.0,2.0,UMBS,231358187.2,2035-10-01,175.0
3140X7PY9,25.0,2.282,151.0,1.5,UMBS,198651197.5,2035-10-01,176.0
3140X7MB2,26.0,2.961,327.0,2.0,UMBS,358789942.7,2050-09-01,353.0
3140X7E70,27.0,3.36,326.0,2.5,UMBS,108402772.7,2050-08-01,353.0
3140X7E54,26.0,2.684,149.0,2.0,UMBS,205252658.4,2035-09-01,175.0
3140X7B73,28.0,3.366,326.0,2.5,UMBS,1255403673.0,2050-07-01,354.0
3140X72B4,24.0,2.63,151.0,2.0,UMBS,199374428.8,2035-11-01,175.0
3140X72A6,24.0,2.26,152.0,1.5,UMBS,239662622.9,2035-11-01,176.0
3140X6Y39,29.0,3.383,320.0,2.5,UMBS,2023448242.0,2050-06-01,349.0
3140X6VF5,27.0,2.701,148.0,2.0,UMBS,231853159.4,2035-08-01,175.0
3140X6V99,29.0,3.396,323.0,2.5,UMBS,176933495.6,2050-05-01,352.0
3140X6QM6,28.0,2.687,147.0,2.0,UMBS,165217143.3,2035-07-01,175.0
3140X6NU1,41.0,4.891,313.0,4.0,UMBS,685619007.7,2049-09-01,354.0
